,Date,Open,High,Low,Close,Volume,Name,Pct Returns
107,6/16/2023,139.23,139.469,137.47,137.48,7473676,IBM,1.117975875
108,6/15/2023,137.27,138.8,137.175,138.4,3812582,IBM,0.669188246
109,6/14/2023,137.8,138.93,136.94,137.2,4514888,IBM,-0.867052023
110,6/13/2023,136.51,138.17,136,137.6,3927331,IBM,0.29154519
111,6/12/2023,136,136.62,135.8216,136.42,4500120,IBM,-0.85755814
112,6/9/2023,134.36,136.1,134.17,135.3,3981748,IBM,-0.820993989
113,6/8/2023,134.69,135.98,134.01,134.41,4128939,IBM,-0.657797487
114,6/7/2023,132.5,134.44,132.19,134.38,5772024,IBM,-0.022319768
115,6/6/2023,132.43,132.94,131.88,132.69,3297951,IBM,-1.257627623
116,6/5/2023,133.12,133.58,132.27,132.64,3993516,IBM,-0.037681815
117,6/2/2023,130.38,133.12,130.15,132.42,5375796,IBM,-0.165862485
118,6/1/2023,128.44,130.145,127.78,129.82,4136086,IBM,-1.96344963
119,5/31/2023,128.51,129.44,127.46,128.59,11086313,IBM,-0.947465722
120,5/30/2023,129.56,130.0699,128.26,129.48,3741050,IBM,0.692122249
121,5/26/2023,127.06,129.66,126.81,128.89,5612570,IBM,-0.455668829
122,5/25/2023,125.61,127.23,125.01,126.76,4102854,IBM,-1.652571961
123,5/24/2023,127.82,127.9,125.47,125.68,3915505,IBM,-0.852003787
124,5/23/2023,127.24,129.09,127.13,128.18,4592280,IBM,1.989178867
125,5/22/2023,127.5,128.19,127.15,127.5,2806770,IBM,-0.530503979
126,5/19/2023,126.79,128.29,126.55,127.26,4306657,IBM,-0.188235294
127,5/18/2023,125.3,126.51,125.1894,126.15,3797883,IBM,-0.87223008
128,5/17/2023,123.94,125.85,123.47,125.71,4515134,IBM,-0.348791122
129,5/16/2023,123.35,123.86,122.45,123.46,2749125,IBM,-1.789833744
130,5/15/2023,123,123.6881,122.34,123.36,2915725,IBM,-0.080997894
131,5/12/2023,121.41,122.86,121.11,122.84,4564825,IBM,-0.42153048
132,5/11/2023,122.02,122.24,120.55,120.9,3446452,IBM,-1.579290134
133,5/10/2023,121.99,122.49,121.1,122.02,4189222,IBM,0.926385443
134,5/9/2023,121.9,121.97,120.66,121.17,4540047,IBM,-0.696607114
135,5/8/2023,123.76,123.92,122.55,123.4,3663818,IBM,1.840389535
136,5/5/2023,123.11,124.1,122.805,123.65,4971936,IBM,0.202593193
137,5/4/2023,123.03,123.52,121.7563,122.57,4468237,IBM,-0.873433077
138,5/3/2023,125.46,125.57,123.26,123.45,4554212,IBM,0.717957086
139,5/2/2023,126.3,126.45,123.27,125.16,4445283,IBM,1.385176185
140,5/1/2023,126.35,126.75,126.06,126.09,2724992,IBM,0.743048897
141,4/28/2023,126.58,127.25,125.64,126.41,5061247,IBM,0.253786978
142,4/27/2023,126.37,127.02,125.455,126.97,3204889,IBM,0.443002927
143,4/26/2023,125.81,126.545,125.12,125.85,4058800,IBM,-0.882098133
144,4/25/2023,124.9,126.19,124.76,125.89,4275396,IBM,0.03178387
145,4/24/2023,125.55,126.05,124.56,125.4,4043892,IBM,-0.389228692
146,4/21/2023,126,126.7,125.27,125.73,6725426,IBM,0.263157895
147,4/20/2023,130.15,130.98,125.84,126.36,9749618,IBM,0.501073729
148,4/19/2023,126.5,126.98,125.3,126.32,7014368,IBM,-0.031655587
149,4/18/2023,128.14,128.68,127.35,127.78,3193787,IBM,1.155794807
150,4/17/2023,128.3,128.72,126.8,127.82,3657929,IBM,0.031303803
151,4/14/2023,128.46,129.84,127.31,128.14,4180614,IBM,0.250352058
152,4/13/2023,128.01,128.39,126,127.9,5621512,IBM,-0.187295146
153,4/12/2023,130.4,130.8857,128.17,128.54,3957542,IBM,0.50039093
154,4/11/2023,130.58,131.105,130.18,130.42,3132430,IBM,1.462579742
155,4/10/2023,129.83,131.08,129.24,131.03,2614402,IBM,0.467719675
156,4/6/2023,132.16,132.6,130.315,130.5,3050581,IBM,-0.404487522
157,4/5/2023,131.37,132.61,131.37,132.14,2898759,IBM,1.256704981
158,4/4/2023,131.99,132.1499,130.89,131.6,3382783,IBM,-0.408657484
159,4/3/2023,130.97,132.61,130.77,132.06,3840139,IBM,0.349544073
160,3/31/2023,129.47,131.23,129.42,131.09,4524686,IBM,-0.734514615
161,3/30/2023,130.16,131.48,129.1,129.22,3561762,IBM,-1.426500877
162,3/29/2023,130.12,130.35,129.18,129.71,3279846,IBM,0.379198267
163,3/28/2023,129.18,129.66,128.8,129.34,2889115,IBM,-0.285251715
164,3/27/2023,126.47,130.255,126.47,129.31,6524113,IBM,-0.023194681
165,3/24/2023,123.36,125.4,122.88,125.29,3812644,IBM,-3.10880829
166,3/23/2023,123.81,124.93,122.6,123.37,4651936,IBM,-1.532444728
167,3/22/2023,127,127.215,124.01,124.05,3549024,IBM,0.551187485
168,3/21/2023,126.9,127.15,125.66,126.57,3856345,IBM,2.031438936
169,3/20/2023,124.31,126.16,124.19,125.94,4588304,IBM,-0.497748282
170,3/17/2023,124.08,124.52,122.93,123.69,37400167,IBM,-1.786565031
171,3/16/2023,122.96,124.82,121.92,124.7,6440023,IBM,0.816557523
172,3/15/2023,122.99,123.35,121.71,123.28,5989339,IBM,-1.138732959
173,3/14/2023,126.49,126.64,123.2,124.65,8114792,IBM,1.111291369
174,3/13/2023,125.15,128.19,124.85,125.58,8188369,IBM,0.746089049
175,3/10/2023,126.12,127.29,125.13,125.45,5990867,IBM,-0.103519669
176,3/9/2023,128.3,128.53,125.98,126.16,5478317,IBM,0.565962535
177,3/8/2023,128.48,128.74,127.545,128.05,2778798,IBM,1.498097654
178,3/7/2023,130.28,130.42,128.19,128.25,3530439,IBM,0.156188989
179,3/6/2023,129.64,130.86,129.59,130.19,2982980,IBM,1.512670565
