Date,Open,High,Low,Close,Volume,Name,Pct Returns
2023-05-12,121.41,122.86,121.11,122.84,4564825,IBM,-0.42153047989623715
2023-05-11,122.02,122.24,120.55,120.9,3446452,IBM,-1.5792901335069942
2023-05-10,121.99,122.49,121.1,122.02,4189222,IBM,0.9263854425144658
2023-05-09,121.9,121.97,120.66,121.17,4540047,IBM,-0.6966071135879326
2023-05-08,123.76,123.92,122.55,123.4,3663818,IBM,1.8403895353635402
2023-05-05,123.11,124.1,122.805,123.65,4971936,IBM,0.20259319286872746
2023-05-04,123.03,123.52,121.7563,122.57,4468237,IBM,-0.8734330772341425
2023-05-03,125.46,125.57,123.26,123.45,4554212,IBM,0.7179570857469342
2023-05-02,126.3,126.45,123.27,125.16,4445283,IBM,1.3851761846901622
2023-05-01,126.35,126.75,126.06,126.09,2724992,IBM,0.7430488974113247
2023-04-28,126.58,127.25,125.64,126.41,5061247,IBM,0.25378697755571444
2023-04-27,126.37,127.02,125.455,126.97,3204889,IBM,0.44300292698362664
2023-04-26,125.81,126.545,125.12,125.85,4058800,IBM,-0.8820981334173417
2023-04-25,124.9,126.19,124.76,125.89,4275396,IBM,0.031783869686141664
2023-04-24,125.55,126.05,124.56,125.4,4043892,IBM,-0.3892286917149823
2023-04-21,126.0,126.7,125.27,125.73,6725426,IBM,0.2631578947368318
2023-04-20,130.15,130.98,125.84,126.36,9749618,IBM,0.5010737294201872
2023-04-19,126.5,126.98,125.3,126.32,7014368,IBM,-0.03165558721114348
2023-04-18,128.14,128.68,127.35,127.78,3193787,IBM,1.1557948068397828
2023-04-17,128.3,128.72,126.8,127.82,3657929,IBM,0.03130380341211936
2023-04-14,128.46,129.84,127.31,128.14,4180614,IBM,0.25035205758097145
2023-04-13,128.01,128.39,126.0,127.9,5621512,IBM,-0.18729514593411878
2023-04-12,130.4,130.8857,128.17,128.54,3957542,IBM,0.500390930414385
2023-04-11,130.58,131.105,130.18,130.42,3132430,IBM,1.4625797417146424
2023-04-10,129.83,131.08,129.24,131.03,2614402,IBM,0.467719674896494
2023-04-06,132.16,132.6,130.315,130.5,3050581,IBM,-0.40448752194154336
2023-04-05,131.37,132.61,131.37,132.14,2898759,IBM,1.2567049808428932
2023-04-04,131.99,132.1499,130.89,131.6,3382783,IBM,-0.40865748448614125
2023-04-03,130.97,132.61,130.77,132.06,3840139,IBM,0.3495440729483379
2023-03-31,129.47,131.23,129.42,131.09,4524686,IBM,-0.7345146145691372
2023-03-30,130.16,131.48,129.1,129.22,3561762,IBM,-1.4265008772599064
2023-03-29,130.12,130.35,129.18,129.71,3279846,IBM,0.3791982665222182
2023-03-28,129.18,129.66,128.8,129.34,2889115,IBM,-0.28525171536505356
2023-03-27,126.47,130.255,126.47,129.31,6524113,IBM,-0.023194680686566826
2023-03-24,123.36,125.4,122.88,125.29,3812644,IBM,-3.1088082901554404
2023-03-23,123.81,124.93,122.6,123.37,4651936,IBM,-1.5324447282305087
2023-03-22,127.0,127.215,124.01,124.05,3549024,IBM,0.5511874848018072
2023-03-21,126.9,127.15,125.66,126.57,3856345,IBM,2.0314389359129326
2023-03-20,124.31,126.16,124.19,125.94,4588304,IBM,-0.4977482815833101
2023-03-17,124.08,124.52,122.93,123.69,37400167,IBM,-1.7865650309671244
2023-03-16,122.96,124.82,121.92,124.7,6440023,IBM,0.8165575228393562
2023-03-15,122.99,123.35,121.71,123.28,5989339,IBM,-1.1387329591018402
2023-03-14,126.49,126.64,123.2,124.65,8114792,IBM,1.1112913692407522
2023-03-13,125.15,128.19,124.85,125.58,8188369,IBM,0.74608904933815
2023-03-10,126.12,127.29,125.13,125.45,5990867,IBM,-0.10351966873705098
2023-03-09,128.3,128.53,125.98,126.16,5478317,IBM,0.5659625348744424
2023-03-08,128.48,128.74,127.545,128.05,2778798,IBM,1.4980976537730006
2023-03-07,130.28,130.42,128.19,128.25,3530439,IBM,0.15618898867628683
2023-03-06,129.64,130.86,129.59,130.19,2982980,IBM,1.5126705653021322
2023-03-03,129.35,129.905,128.77,129.64,2860286,IBM,-0.4224594822951122
2023-03-02,128.39,129.22,127.71,128.93,3340254,IBM,-0.5476704720765002
2023-03-01,128.9,129.4726,127.74,128.19,3760678,IBM,-0.5739548592259447
2023-02-28,130.55,130.61,129.14,129.3,5143133,IBM,0.8659021764568342
2023-02-27,131.42,131.87,130.13,130.49,2761326,IBM,0.920340293890165
2023-02-24,129.62,130.67,129.22,130.57,3015907,IBM,0.06130737987584123
2023-02-23,131.5,131.7,128.86,130.79,3725648,IBM,0.16849199663016012
2023-02-22,131.9,131.99,130.29,130.97,3200185,IBM,0.13762520070341733
2023-02-21,134.0,134.385,131.66,131.71,4257210,IBM,0.565014888905857
2023-02-17,134.5,135.58,133.89,135.02,3466184,IBM,2.513096955432381
2023-02-16,135.57,135.9672,134.59,135.0,2965495,IBM,-0.014812620352544492
2023-02-15,135.2,136.445,135.07,136.4,2507004,IBM,1.0370370370370363
2023-02-14,137.05,137.24,135.05,136.01,3202172,IBM,-0.28592375366569556
2023-02-13,136.0,137.39,135.85,137.35,4403015,IBM,0.9852216748768461
2023-02-10,133.78,135.77,133.5,135.6,5049571,IBM,-1.274117218784132
2023-02-09,134.99,135.73,133.34,133.75,3918817,IBM,-1.3643067846607626
2023-02-08,135.71,136.74,135.16,135.98,4593748,IBM,1.6672897196261527
2023-02-07,135.67,136.4,134.45,135.84,3737553,IBM,-0.1029563171054515
2023-02-06,135.83,136.32,134.95,136.18,4841300,IBM,0.2502944640753846
2023-02-03,136.35,136.95,135.53,136.94,3755720,IBM,0.5580848876487021
2023-02-02,135.96,136.72,134.85,136.39,6107793,IBM,-0.4016357528844883
2023-02-01,134.49,135.79,132.8,135.09,5428898,IBM,-0.9531490578488011
2023-01-31,135.5,135.65,133.76,134.73,7206448,IBM,-0.26648900732846315
2023-01-30,134.32,136.11,133.98,135.3,5375712,IBM,0.4230683589401263
2023-01-27,134.44,135.488,133.7701,134.39,8143146,IBM,-0.6725794530672791
2023-01-26,137.53,138.27,132.98,134.45,17548483,IBM,0.04464617903117141
2023-01-25,140.47,141.03,139.36,140.76,7347453,IBM,4.693194496095199
2023-01-24,141.25,142.75,140.0,141.49,4407622,IBM,0.5186132423984136
2023-01-23,141.4,142.985,141.06,141.86,5898436,IBM,0.26150257968762247
2023-01-20,141.67,141.86,140.51,141.2,7153341,IBM,-0.4652474270407603
2023-01-19,140.0,142.23,139.75,140.62,4833924,IBM,-0.41076487252122984
2023-01-18,144.4,144.678,140.225,140.41,6445642,IBM,-0.14933864315176404
2023-01-17,146.42,147.18,145.01,145.19,2986461,IBM,3.4043159319136818
2023-01-13,144.06,146.1,144.01,145.89,2455786,IBM,0.4821268682416058
2023-01-12,144.88,146.66,144.52,145.55,2716118,IBM,-0.23305229967782726
2023-01-11,145.0,145.53,143.45,145.26,3268738,IBM,-0.19924424596360346
2023-01-10,143.61,144.85,142.9,144.8,2152172,IBM,-0.3166735508742802
2023-01-09,144.08,145.47,143.4,143.55,3987782,IBM,-0.8632596685082872
2023-01-06,142.38,144.25,141.58,143.7,3574042,IBM,0.10449320794145844
2023-01-05,142.44,142.498,140.01,141.11,2866648,IBM,-1.8023660403618469
2023-01-04,142.07,143.615,141.3675,142.6,3869236,IBM,1.0559138260931134
2023-01-03,141.1,141.9,140.48,141.55,3338829,IBM,-0.7363253856942364
2022-12-30,140.54,140.9,139.45,140.89,2858110,IBM,-0.4662663369834119
2022-12-29,140.58,142.26,140.45,141.06,2337207,IBM,0.1206615089786478
2022-12-28,142.4,142.81,139.95,140.02,2539577,IBM,-0.7372749184744065
2022-12-27,141.73,142.72,141.23,142.42,2742525,IBM,1.7140408513069305
2022-12-23,140.59,141.8565,139.6,141.65,2092715,IBM,-0.540654402471552
2022-12-22,140.95,141.44,138.62,140.88,3337851,IBM,-0.5435933639251767
2022-12-21,141.84,143.09,140.975,142.14,3793700,IBM,0.8943781942078344
2022-12-20,138.84,141.425,138.34,141.28,5156450,IBM,-0.6050372871816423
2022-12-19,140.16,140.44,137.195,138.87,5282860,IBM,-1.7058323895809746
2022-12-16,141.25,141.915,138.97,140.16,9834427,IBM,0.9289263339814058
2022-12-15,148.52,148.98,141.58,142.36,6687744,IBM,1.5696347031963542
2022-12-14,150.47,151.91,148.45,149.86,4205878,IBM,5.268333801629677
2022-12-13,150.37,153.21,149.95,150.57,8811553,IBM,0.47377552382221744
2022-12-12,147.82,149.21,146.9426,149.21,4032780,IBM,-0.9032343760377093
2022-12-09,147.4,148.34,146.97,147.05,3047581,IBM,-1.4476241538770807
2022-12-08,147.9,149.153,147.365,147.78,2665687,IBM,0.4964297857871447
2022-12-07,147.33,148.105,146.29,147.27,3971285,IBM,-0.34510759236702215
2022-12-06,147.3,147.8,146.7,147.5,2847610,IBM,0.15617573164934395
2022-12-05,147.94,148.93,146.8,147.41,2784767,IBM,-0.06101694915254807
2022-12-02,148.13,149.16,147.73,148.67,2899995,IBM,0.8547588358998714
2022-12-01,149.98,150.01,147.34,149.16,4495924,IBM,0.32958902266766454
2022-11-30,146.19,149.64,145.67,148.9,6377582,IBM,-0.17430946634485744
2022-11-29,145.91,147.1668,145.7,146.49,2754744,IBM,-1.6185359301544633
2022-11-28,147.98,148.24,145.935,146.18,3538696,IBM,-0.21161854051471307
2022-11-25,148.27,149.49,148.101,148.37,2075156,IBM,1.4981529621015177
2022-11-23,149.1,150.46,148.3,148.75,3658459,IBM,0.2561164655927817
2022-11-22,147.6,149.35,147.02,149.1,7062060,IBM,0.23529411764704466
2022-11-21,147.55,147.928,146.45,146.68,3476208,IBM,-1.623071763916828
2022-11-18,146.56,148.31,145.94,147.64,4661735,IBM,0.6544859558221816
2022-11-17,143.41,146.18,143.25,146.09,3955162,IBM,-1.0498509888918872
2022-11-16,144.13,144.95,144.0081,144.52,3445302,IBM,-1.0746799917858763
2022-11-15,144.08,146.1609,142.0,144.34,4727107,IBM,-0.12455023526155573
2022-11-14,142.63,146.08,142.18,144.2,5245624,IBM,-0.09699321047528242
2022-11-11,141.5,144.13,140.96,143.17,5871264,IBM,-0.7142857142857117
2022-11-10,140.26,141.37,138.29,141.23,5389025,IBM,-1.3550324788712653
2022-11-09,137.95,138.9,136.94,137.39,4720007,IBM,-2.718969057565679
2022-11-08,139.0,140.93,138.72,140.04,5042756,IBM,1.9288157798966532
2022-11-07,136.64,138.7,136.51,138.34,4043062,IBM,-1.2139388746072455
2022-11-04,135.65,137.73,134.94,136.96,4177972,IBM,-0.9975422871186912
2022-11-03,136.42,136.48,133.97,134.47,4442443,IBM,-1.8180490654205683
2022-11-02,137.75,140.17,136.8,136.83,5365264,IBM,1.7550382985052515
2022-11-01,138.25,138.65,136.7,138.2,3590607,IBM,1.001242417598469
2022-10-31,138.06,138.7699,136.595,138.29,4915270,IBM,0.06512301013024135
2022-10-28,135.56,138.8615,135.22,138.51,5965457,IBM,0.15908597874032537
2022-10-27,135.55,136.4,134.445,134.77,3993168,IBM,-2.7001660529925475
2022-10-26,133.72,135.863,132.81,135.01,5140023,IBM,0.17808117533575363
2022-10-25,132.0,133.3,131.3,132.93,5957623,IBM,-1.5406266202503405
2022-10-24,130.9,133.11,129.85,132.69,5610914,IBM,-0.18054615211013925
2022-10-21,128.39,130.845,127.59,129.9,7201256,IBM,-2.1026452633958748
2022-10-20,126.25,128.96,125.15,128.3,13623115,IBM,-1.2317167051578037
2022-10-19,122.36,123.94,121.9875,122.51,5906576,IBM,-4.5128604832424095
2022-10-18,123.0,123.94,121.82,122.94,5120336,IBM,0.35099175577504305
2022-10-17,121.8,122.875,121.43,121.52,5458585,IBM,-1.1550349764112622
2022-10-14,121.8,122.54,119.84,120.04,3763840,IBM,-1.2179065174456771
2022-10-13,116.1,122.15,115.545,121.79,5837645,IBM,1.4578473842052686
2022-10-12,118.0,118.81,117.2,117.57,3338754,IBM,-3.4649807044913494
2022-10-11,117.46,119.23,116.94,117.8,4043265,IBM,0.19562813642937105
2022-10-10,119.79,119.96,117.04,117.75,5990008,IBM,-0.04244482173174635
2022-10-07,121.5,121.8016,118.07,118.82,4499672,IBM,0.9087048832271627
2022-10-06,124.88,125.3,121.77,122.23,5074624,IBM,2.8698872243730023
2022-10-05,124.71,126.46,124.23,125.74,3212872,IBM,2.871635441381004
2022-10-04,122.8,125.65,122.52,125.5,4566055,IBM,-0.19087004930808948
2022-10-03,120.16,122.21,119.6,121.51,4261729,IBM,-3.17928286852589
2022-09-30,121.66,122.43,118.61,118.81,5346108,IBM,-2.222039338326065
2022-09-29,121.85,122.62,120.57,121.63,3817723,IBM,2.3735375810116865
2022-09-28,121.65,123.23,119.81,122.76,4996378,IBM,0.9290471100879882
2022-09-27,122.6,123.95,121.08,121.74,4117215,IBM,-0.8308895405669703
2022-09-26,122.3,124.26,121.75,122.01,3987817,IBM,0.22178413011335607
2022-09-23,124.53,125.0,121.74,122.71,5195693,IBM,0.5737234652897216
2022-09-22,124.76,126.51,124.41,125.31,4038335,IBM,2.1188167223535226
2022-09-21,126.89,127.84,124.92,124.93,3389545,IBM,-0.3032479450961634
2022-09-20,126.9,126.99,125.52,126.3,2837485,IBM,1.0966141038981858
2022-09-19,126.49,128.06,126.28,127.73,3981606,IBM,1.1322248614410224
2022-09-16,124.36,127.53,123.83,127.27,9839696,IBM,-0.3601346590464294
